Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
The Unsound,Normal,No,No,thriller,No,Yes,Yes,Shaadab Khan,Alok Shrivastava,Aslam Keyi,25,10000000,900000,0.09,2013,105,4.6,24
Chand Bujh Gaya,Normal,No,No,love_story,No,Yes,Yes,Faisal Khan,Sharique Minhaz,Ali Ghani,20,17500000,1552500,0.088714286,2005,116,6.8,52
Mumbai Can Dance Saalaa,Holiday,No,No,thriller,Yes,Yes,Yes,Ashima Sharma,S. Sachindra,Naresh Karwala,600,35000000,3100000,0.088571429,2015,135,1.6,43
Deewana Main Deewana,Normal,No,No,love_story,No,No,No,Govinda,K.C. Bokadia,Bappi Lahiri,200,50000000,4400000,0.088,2013,130,2.4,339
Khanna & Iyer,Holiday,No,No,comedy,Yes,Yes,No,Aditi Sharma,Hemant Hegde,Tabun Sutradhar,70,22500000,1975000,0.087777778,2007,103,5.1,49
Swami,Normal,No,No,drama,No,Yes,Yes,Manoj Bajpai,Ganesh Acharya,Nitin Arora,40,27500000,2350000,0.085454545,2007,140,6.8,374
Khap,Normal,No,No,drama,No,No,Yes,Om Puri,Ajai Sinha,Annujj Kappoo,100,27500000,2350000,0.085454545,2011,125,5.0,104
Riyasat,Normal,No,No,drama,No,No,No,Rajesh Khanna,Ashok Tyagi,Sayyed Ahmed,30,5000000,425000,0.085,2014,80,6.4,44
Children Of War,Normal,No,No,drama,No,Yes,Yes,Farooque Shaikh,Mrityunjay Devvrat,Sidhant Mathur,275,90000000,7500000,0.083333333,2014,160,6.7,879
1971,Normal,No,No,drama,No,Yes,Yes,Amitabh Bachchan,Amrit Sagar,Akash Chopra,85,55000000,4550000,0.082727273,2007,136,8.1,1892
Manjunath,Holiday,No,No,drama,Yes,Yes,Yes,Sasho Satiiysh Saarathy,Sandeep A. Varma,Sonam - Nitin - Subir,175,55000000,4550000,0.082727273,2014,130,7.2,478
Chhodon Naa Yaar,Normal,No,No,thriller,No,Yes,No,Jimmy Shergill,Dilip Sood,Anand Raj Anand,70,32500000,2650000,0.081538462,2007,97,4.6,94
Sharafat Gayi Tel Lene,Normal,No,No,comedy,No,No,Yes,Zayed Khan,Gurmmeet Singh,Faridkot,450,70000000,5700000,0.081428571,2015,108,4.9,273
Hum Tum Dushman Dushman,Normal,No,No,drama,Yes,No,No,Mashaal Durrani,Iqbal Durrani,Ali Ghani,125,20000000,1625000,0.08125,2015,114,6.4,18
Yatra,Normal,No,No,drama,No,No,No,Nana Patekar,Goutam Ghose,Goutam Ghose,50,47500000,3800000,0.08,2006,129,6.4,132
Thanks Maa,Normal,No,No,drama,Yes,Yes,No,Master Shams,Irfan Kamal,Sajid - Wajid,125,25000000,2000000,0.08,2009,120,7.9,698
Aazaan,Normal,No,No,action,Yes,Yes,No,Sachiin Joshi,Prashant Chadha,Salim - Sulaiman,675,330000000,26300000,0.07969697,2011,125,4.4,346
Tell Me O Kkhuda,Holiday,No,No,drama,Yes,Yes,No,Eisha Deol,Hema Malini,Pritam,325,160000000,12300000,0.076875,2011,125,2.5,351
A Flat,Normal,No,No,thriller,No,Yes,No,Jimmy Shergill,Hemant Madhukar,Bappa Lahiri,175,55000000,4200000,0.076363636,2010,103,4.5,202
Bolo Raam,Holiday,No,No,thriller,Yes,Yes,No,Rishi Bhutani,Rakesh Chaturvedi,Sachin Gupta,125,40000000,3050000,0.07625,2009,103,5.2,85
Khushboo,Normal,No,No,love_story,Yes,Yes,No,Rishi Rehan,Rajesh Ram Singh,Adnan Sami,80,25000000,1900000,0.076,1975,132,7.1,254
Kaalo,Holiday,No,No,horror,Yes,No,No,Swini Khara,Wilson Louis,Rahul Ranade,200,40000000,3025000,0.075625,2010,79,3.3,260
Hostel,Normal,No,No,drama,Yes,No,Yes,Vatsal Sheth,Manish Gupta,Virag Mishra,60,22500000,1700000,0.075555556,2011,111,5.2,579
Anamika,Normal,No,No,thriller,No,No,No,Dino Morea,Anant Mahadevan,Anu Malik,75,32500000,2450000,0.075384615,1973,125,7.1,278
Monsoon Shootout,Normal,No,No,drama,No,Yes,No,Nawazuddin Siddiqui,Amit Kumar,Rochak Kohli,250,120000000,9000000,0.075,2013,92,6.6,1071
Sarhad Paar,Normal,No,No,drama,No,No,No,Sanjay Dutt,Raman Kumar,Anand Raj Anand,80,130000000,9600000,0.073846154,2006,117,3.9,116
Lanka,Normal,No,No,drama,No,Yes,No,Manoj Bajpai,Maqbool Khan,Toshi - Sharib,375,80000000,5900000,0.07375,2011,107,5.8,205
Karle Pyaar Karle,Normal,No,No,love_story,Yes,Yes,No,Shiv Darshan,Rajesh Pandey,Meet Bros,1100,260000000,19100000,0.073461538,2014,110,2.7,128
I Am 24,Normal,No,No,comedy,No,No,No,Rajat Kapoor,Saurabh Shukla,Jatin Pandit,75,42500000,3100000,0.072941176,2010,118,6.0,1185
Jai Santoshi Maa,Holiday,No,No,mythological,No,Yes,No,Rakesh Bapat,Ahmed Siddiqui,Anu Malik,110,42500000,3100000,0.072941176,1975,145,6.2,118
Gandhi To Hitler,Normal,No,No,drama,No,Yes,No,Neha Dhupia,Rakesh Ranjan Kumar,Sanjoy Chowdhary,150,47500000,3450000,0.072631579,2011,108,2.5,207
Amu,Normal,No,No,drama,Yes,Yes,Yes,Konkona Sen Sharma,Shonali Bose,Nandlal Nayak,4,5000000,362500,0.0725,2005,102,7.3,856
Pappu Can't Dance Saala,Normal,No,No,rom__com,No,No,Yes,Vinay Pathak,Saurabh Shukla,Malhar,275,85000000,6000000,0.070588235,2010,138,6.5,447
Barefoot To Goa,Normal,No,No,drama,Yes,Yes,Yes,Farrukh Jaffar,Praveen Morchhale,Rohit Sharma,25,6000000,420000,0.07,2015,80,5.6,149
Amdavad Junction,Normal,No,No,thriller,Yes,Yes,Yes,Rohan Jardosh,Apurv Bajpai,Parampara Band,85,5000000,350000,0.07,2013,95,4.4,16
Zindagi Jalebi,Holiday,No,No,comedy,Yes,Yes,Yes,Avinash Bhargava,Karan Kashyyap,Pravin More,3,2500000,175000,0.07,2013,117,3.7,6
Ladies First,Holiday,No,No,drama,Yes,No,Yes,Khushboo Khan,Ashok Mehta,Shiv - Ram,10,2000000,140000,0.07,2014,106,3.6,20
Hai Golmaal In White House,Normal,No,No,comedy,No,Yes,No,Rajpal Yadav,Salar Shaikh,Shamir Tandon,4,4000000,275000,0.06875,2015,125,2.5,8
Sandwich,Holiday,No,No,comedy,No,No,No,Govinda,Anees Bazmee,Aadesh Shrivastava,90,100000000,6800000,0.068,2006,152,5.4,819
Aalaap,Normal,No,No,drama,Yes,Yes,No,Amit Purohit,Manish Manikpuri,Agnee,65,25000000,1700000,0.068,2012,116,5.4,26
Angel,Holiday,No,No,drama,Yes,No,No,Nilesh Sahay,Ganesh Acharya,Amjad - Nadeem,85,25000000,1700000,0.068,2011,114,6.3,84
Bhadaas,Normal,No,No,thriller,No,No,Yes,Meera,Ajay Yadav,Shabab Azmi,125,27500000,1850000,0.067272727,2013,89,2.5,26
Babloo Happy Hai,Normal,No,No,love_story,Yes,No,Yes,Sahil Anand,Nila Madhab Panda,Bishakh - Kanish,275,45000000,3000000,0.066666667,2014,113,6.7,83
Antardwand,Normal,No,No,drama,No,Yes,No,Raj Singh Chaudhary,Sushil Rajpal,Bappi - Tutal,115,40000000,2650000,0.06625,2008,114,7.3,656
Zindagi Tere Naam,Normal,No,No,drama,No,No,No,Mithun Chakraborty,Ashu Trikha,Sajid - Wajid,90,35000000,2300000,0.065714286,2012,120,4.4,33
Bubble Gum,Normal,No,No,drama,Yes,Yes,No,Delzad Hiwale,Sanjivan Lal,Bappi - Tutal,50,17500000,1150000,0.065714286,2011,116,7.3,456
Zubaan,Holiday,No,No,drama,Yes,Yes,Yes,Vicky Kaushal,Mozez Singh,Ashu Pathak,350,80000000,5200000,0.065,2015,115,6.1,408
Ho Sakta Hai!,Normal,No,No,drama,Yes,Yes,No,Victor Banerjee,Wilson Louis,Rahul Ranade,25,12500000,800000,0.064,2004,101,6.1,45
Monica,Normal,No,No,thriller,No,No,Yes,Divya Dutta,Sushen Bhatnagar,Raju Rao,100,45000000,2850000,0.063333333,2011,124,5.5,72
Wake Up India,Normal,No,No,drama,No,Yes,No,Chirag Patil,Babloo Sheshadri,Shankar Sahney,175,15000000,950000,0.063333333,2013,130,6.7,14
Sona Spa,Normal,No,No,thriller,No,No,No,Naseeruddin Shah,Makarand Deshpande,Shailendra Barve,200,40000000,2525000,0.063125,2013,102,3.5,189
Mere Khwabon Mein Jo Aaye,Holiday,No,No,love_story,No,Yes,No,Randeep Hooda,Madhureeta Anand,Lalit Pandit,100,30000000,1875000,0.0625,2009,119,5.6,93
Rajdhani Express,Normal,No,No,thriller,Yes,Yes,Yes,Leander Paes,Ashok Kohli,Lahu Madhav,275,65000000,4000000,0.061538462,2013,140,2.9,257
Satrangee Parachute,Holiday,No,No,drama,No,Yes,No,Zakir Hussain,Vineet Khetrapal,Shamir Tandon,150,20000000,1225000,0.06125,2011,115,5.3,66
Lucky Kabootar,Holiday,No,No,rom__com,No,Yes,No,Eijaz Khan,Shammi Chhabra,Santokh Singh,375,70000000,4200000,0.06,2014,117,5.1,75
Ya Rab,Normal,No,No,drama,Yes,Yes,No,Manzar Sehbai,Hasnain Hyderabadwala,Amjad - Nadeem,275,60000000,3600000,0.06,2014,120,5.9,278
Paranthe Wali Gali,Normal,No,No,love_story,No,Yes,Yes,Anuj Saxena,Sachin Gupta,Vikram Khajuria,75,15000000,900000,0.06,2014,101,5.0,87
Mukhbiir,Normal,No,No,drama,No,No,Yes,Sameer Dattani,Mani Shankar,Shashi Pritam,75,37500000,2225000,0.059333333,2008,132,6.9,388
Shree,Normal,No,No,thriller,Yes,Yes,Yes,Hussain Kuwajerwala,Rajesh Bachchani,Talaash - Band Of Seekers,100,30000000,1750000,0.058333333,2013,109,6.3,269
Love Express,Normal,No,No,comedy,Yes,Yes,No,Sahil Mehta,Sunny Bhambhani,Jaidev Kumar,150,50000000,2900000,0.058,2011,141,5.3,117
Manasarovar,Holiday,No,No,drama,No,Yes,Yes,Atul Kulkarni,Anup Kurian,Lisa Stanislawski,5,2500000,145000,0.058,2004,90,6.9,80
Chal Pichchur Banate Hain,Normal,No,No,drama,No,Yes,Yes,Rahil Tandon,Pritish Chakraborty,Gaurav Dagaonkar,90,35000000,2000000,0.057142857,2012,115,6.1,47
Apna Asmaan,Normal,No,No,drama,No,Yes,Yes,Irrfan Khan,Kaushik Roy,Lesle Lewis,45,30000000,1700000,0.056666667,2007,110,6.2,164
The Film,Normal,No,No,drama,No,Yes,Yes,Mahima Chaudhary,Junaid Memon,Siddharth - Suhas,25,15000000,850000,0.056666667,2005,144,6.4,84
Gattu,Normal,No,No,drama,Yes,Yes,No,Mohd. Samad,Rajan Khosa,Sandesh Shandilya,55,27500000,1550000,0.056363636,2011,90,7.3,398
Titoo MBA,Holiday,No,No,comedy,No,No,No,Nishant Dahiya,Amit Vats,Arjuna Harjai,150,25000000,1400000,0.056,2014,111,4.3,100
Nakshatra,Normal,No,No,thriller,Yes,Yes,No,Shubh Mukherjee,Mohan Savalkar,Bappi - Tutal,200,47500000,2650000,0.055789474,2010,122,5.0,56
Accident On Hill Road,Holiday,No,No,thriller,No,Yes,No,Celina Jaitley,Mahesh Nair,Raju Singh,75,35000000,1950000,0.055714286,2010,105,4.0,284
Life Ki Toh Lag Gayi,Normal,No,No,comedy,No,Yes,Yes,Kay Kay Menon,Rakesh Mehta,Vinay Jaiswal,100,35000000,1950000,0.055714286,2012,155,5.3,255
10ml Love,Normal,No,No,rom__com,No,Yes,No,Rajat Kapoor,Sharat Katariya,Sagar Desai,25,12500000,690000,0.0552,2010,87,6.3,162
Kaccha Limboo,Holiday,No,No,drama,Yes,No,Yes,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,15000000,825000,0.055,2011,141,6.4,88
Future To Bright Hai Ji,Holiday,No,No,drama,No,Yes,Yes,Aamir Bashir,Sanjay Amar,Amir Ali,30,15000000,825000,0.055,2012,180,6.2,97
Identity Card,Holiday,No,No,drama,No,No,Yes,Tia Bajpai,Rahat Kazmi,Raja Ali,50,15000000,825000,0.055,2014,92,5.9,63
The World Of Fashion,Normal,No,No,drama,Yes,No,No,Ajaz Khan,Sanjay Khandelwal,Vaishnav Deva,5,4000000,215000,0.05375,2013,120,6.8,6
Maazii,Normal,No,No,thriller,Yes,Yes,Yes,Sumeet Nijhawan,Jaideep Chopra,Faizan Hussain,70,17500000,925000,0.052857143,2013,123,5.8,94
3 Bachelors,Normal,No,No,comedy,No,No,No,Sharman Joshi,Ajai Sinha,Daboo Malik,70,40000000,2100000,0.0525,2012,114,3.3,165
Mai,Normal,No,No,drama,Yes,Yes,Yes,Asha Bhonsle,Mahesh Kodiyal,Nithin R. Shankar,65,20000000,1050000,0.0525,2013,105,6.7,92
Aur Pappu Pass Ho Gaya,Normal,No,No,comedy,No,Yes,Yes,Krishna Abhishek,S. Soni,Ravi Chopra,15,10000000,525000,0.0525,2007,142,4.2,36
Cycle Kick,Normal,No,No,drama,No,Yes,No,Nishan Nanaiah,Shashi Sudigala,Sanjoy Chowdhary,75,12500000,650000,0.052,2011,86,6.1,100
Jaane Hoga Kya,Normal,No,No,fantasy,No,Yes,No,Aftab Shivdasani,Glen Barreto,Sajid - Wajid,55,55000000,2850000,0.051818182,2006,155,2.7,167
Fireflies,Normal,No,No,drama,No,Yes,Yes,Rahul Khanna,Sabal Singh Shekhawat,Zubin Balaporia,65,17500000,900000,0.051428571,2013,100,6.2,95
Kahin Hai Mera Pyar,Normal,No,No,love_story,No,Yes,No,Jackie Shroff,Mahesh Vaijnath Doijode,Nikhil Kamath,275,45000000,2275000,0.050555556,2014,138,5.7,18
Idiot Box,Normal,No,No,comedy,No,Yes,No,Sushant Singh,Sunanda Mitra,Anand - Milind,20,12500000,625000,0.05,2010,131,4.5,38
Munna Mange Memsaab,Normal,No,No,comedy,No,Yes,Yes,Omkar Das Manikpuri,Shareeph Mansuri Saranwala,Nizam Khan,25,4000000,200000,0.05,2014,128,3.2,13
Payback,Holiday,No,No,drama,Yes,Yes,Yes,Munish Khan,Sachin P. Karande,Dev Sikander,100,25000000,1225000,0.049,2010,115,5.5,65
Calapor,Holiday,No,No,drama,No,Yes,Yes,Rituparna Sengupta,Dinesh P. Bhonsle,Arjuna Harjai,75,25000000,1200000,0.048,2013,120,4.5,6
Mere Dost Picture Abhi Baaki Hai,Normal,No,No,comedy,No,No,Yes,Suneil Shetty,Rajnish Thakur,Parvez - Subhash,50,52500000,2500000,0.047619048,2012,180,3.5,191
Mr. Hot Mr. Kool,Normal,No,No,comedy,No,No,Yes,Zulfi Sayed,Partho Ghosh,Rishi - Ranjit,30,27500000,1300000,0.047272727,2007,110,4.0,21
Shabri,Holiday,No,No,drama,No,Yes,No,Isha Koppikar,Lalit Marathe,Raju Singh,75,35000000,1650000,0.047142857,2011,98,5.6,136
Bandook,Holiday,No,No,drama,No,No,Yes,Aditya Om,Aditya Om,Nikhil Kamath,250,45000000,2100000,0.046666667,2013,132,5.9,140
Chor Chor Super Chor,Holiday,No,No,comedy,No,Yes,No,Deepak Dobriyal,K. Rajesh,Mangesh Dhakde,125,37500000,1750000,0.046666667,2013,99,6.5,225
Le Gaya Saddam,Holiday,No,No,drama,No,Yes,No,Raghuvir Yadav,Amjad Khan,Jaideep Choudhury,30,15000000,700000,0.046666667,2012,113,6.2,18
Jigariyaa,Holiday,No,No,love_story,Yes,No,Yes,Harshvardhan Deo,Raj Purohit,Raj - Prakash,350,60000000,2700000,0.045,2014,142,4.9,301
Yeh Hai Bakrapur,Holiday,No,No,comedy,No,Yes,No,Anshuman Jha,Janaki Vishwanathan,Agnee,200,50000000,2250000,0.045,2014,95,3.6,233
Haseena,Normal,No,No,thriller,No,No,Yes,Raj Babbar,Vicky Ranawat,Rajan Bawa,5,15000000,675000,0.045,2018,135,4.4,92
Four Two Ka One,Normal,No,No,comedy,No,Yes,Yes,Jimmy Shergill,Anwer Khan,J.D. Singh - Rajan,65,60000000,2650000,0.044166667,2012,112,4.7,52
Chitkabrey,Holiday,No,No,drama,No,Yes,Yes,Ravi Kissen,Suneet Arora,Akshay Bafila,150,42500000,1875000,0.044117647,2011,120,3.9,134
Life Express,Normal,No,No,drama,No,Yes,No,Rituparna Sengupta,Anup Das,Roop Kumar Rathod,45,15000000,650000,0.043333333,2010,125,4.4,47
Pehli Nazar Ka Pyaar,Normal,No,No,love_story,No,No,No,Divvj Kak,Arshad Khan,Ali Ghani,7,7500000,325000,0.043333333,2008,140,4.4,7
Karma: Crime. Passion. Reincarnation,Normal,No,No,thriller,Yes,Yes,Yes,Alma Grey,M.R. Shahjahan,Sunna Wehrmeijer,45,25000000,1075000,0.043,2008,97,5.0,105
Vikalp,Normal,No,No,drama,No,No,No,Deepal Shaw,Sachin P. Karande,Dev Sikander,125,35000000,1500000,0.042857143,2011,130,6.1,15
Challo Driver,Normal,No,No,comedy,Yes,Yes,Yes,Vikrant Mahajan,Vikrant Mahajan,Gaurav Dayal,50,30000000,1275000,0.0425,2012,95,5.9,185
Jhansi Ki Rani Laxmibai,Holiday,No,No,action,Yes,No,Yes,Kashish,Rajesh Mittal,Amresh Shahabadi,20,20000000,850000,0.0425,2012,140,7.1,15
Second Marriage Dot Com,Holiday,No,No,drama,Yes,Yes,Yes,Mohit Chauhan,Gaurav Panjwani,Manan Munjal,25,20000000,825000,0.04125,2012,130,7.5,55
The Great Indian Butterfly,Holiday,No,No,drama,No,Yes,No,Sandhya Mridul,Sarthak Dasgupta,Deepak Pandit,60,25000000,1025000,0.041,2007,110,6.2,179
Utthaan,Normal,No,No,drama,No,No,Yes,Priyanshu Chatterjee,Ujjwal Chatterjee,Kumar Sanu,25,30000000,1200000,0.04,2006,180,4.1,32
Anwar,Holiday,No,No,drama,No,No,Yes,Siddharth Koirala,Manish Jha,Mithoon,25,30000000,1200000,0.04,2007,144,6.6,904
Hello Hum Lallann Bol Rahe Hain,Normal,No,No,comedy,No,No,Yes,Rajpal Yadav,Dilip Shukla,Vijay Verma,20,17500000,700000,0.04,2010,130,6.3,132
Madholal Keep Walking,Normal,No,No,drama,Yes,Yes,No,Subrat Dutta,Jai Tank,Nayab - Raja,50,12500000,475000,0.038,2009,121,6.2,112
Chal Bhaag,Normal,No,No,comedy,No,No,Yes,Deepak Dobriyal,Prakash Saini,Sanjay Pathak,125,20000000,750000,0.0375,2014,111,3.8,101
Mohandas,Normal,No,No,thriller,No,Yes,Yes,Nakul Vaid,Mazhar Kamran,Vivek Priyadarshan,35,17500000,650000,0.037142857,2009,112,6.8,119
Pankh,Holiday,No,No,drama,No,Yes,No,Bipasha Basu,Sudipto Chattopadhyay,Raju Singh,125,55000000,2025000,0.036818182,2010,98,3.7,125
Yeh Jo Mohabbat Hai,Normal,No,No,love_story,Yes,Yes,No,Aditya Samanta,Shree Narayan Singh,Anu Malik,125,80000000,2934688,0.0366836,2012,147,5.2,76
U R My Jaan,Normal,No,No,love_story,Yes,Yes,No,Mikaal Zulfikaar,Aron Govil,Sanjeev - Darshan,70,30000000,1100000,0.036666667,2011,140,5.8,95
Ocean Of An Old Man,Normal,No,No,drama,No,Yes,Yes,Tom Alter,Rajesh Shera,Serge Eisen,7,4000000,145000,0.03625,2008,80,6.6,44
Spark,Holiday,No,No,action,No,No,Yes,Rajneesh Duggal,V.K. Singh,Nitz - Sony,300,50000000,1800000,0.036,2014,134,5.9,31
Sau Jhooth Ek Sach,Normal,No,No,drama,Yes,Yes,Yes,Mammootty,Bappaditya Roy,Faizal Qureshi,3,5000000,180000,0.036,2004,110,7.2,70
Humne Jeena Seekh Liya,Holiday,No,No,drama,No,No,Yes,Milind Gunaji,Milind Ukey,Pranit,5,7000000,250000,0.035714286,2007,149,6.9,51
Tutiya Dil,Holiday,No,No,love_story,Yes,Yes,Yes,Sidhant Kapur,Amit Khanna,Gulraj Singh,20,15000000,525000,0.035,2012,127,5.0,34
Ab Hoga Dharna Unlimited,Holiday,No,No,comedy,Yes,Yes,Yes,Saurabh Malik,Deepak Tanwar,Shankar Sahney,10,15000000,510000,0.034,2012,78,4.0,6
Love In Japan,Holiday,No,No,comedy,No,Yes,Yes,Mohsin Khan,Akram Shaikh,Sikander Khan,2,12500000,425000,0.034,2006,136,3.1,15
Shuttlecock Boys,Normal,No,No,comedy,Yes,Yes,Yes,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,5000000,170000,0.034,2011,76,6.2,111
Yeh Dil Ramta Jogi,Normal,No,No,drama,No,No,Yes,Swaroop Kanchi,Swaroop Kanchi,Swaroop Kanchi,5,5000000,165000,0.033,2014,98,6.4,10
Bhavnao Ko Samjho,Normal,No,No,comedy,Yes,Yes,No,Navin Prabhakar,Sunil Pal,Dinu,20,10000000,320000,0.032,2010,114,4.3,76
Ooops A Desi,Normal,No,No,thriller,Yes,Yes,Yes,Buali Shah,Jenner Jose,Saurabh Malhotra,30,15000000,475000,0.031666667,2013,126,6.2,176
Dus Tola,Holiday,No,No,comedy,No,Yes,No,Manoj Bajpai,Ajay Varma,Sandesh Shandilya,175,62500000,1950000,0.0312,2010,120,6.9,301
Fruit & Nut,Normal,No,No,comedy,Yes,Yes,Yes,Cyrus Broacha,Kunal Vijayakar,Sangeet - Siddharth,50,50000000,1500000,0.03,2009,90,2.8,71
Say Yes To Love,Normal,No,No,love_story,Yes,No,No,Aasad Mirza,Mahrukh Mirza,Jatin Pandit,30,17500000,525000,0.03,2012,115,5.5,14
99.9 FM,Normal,No,No,thriller,No,Yes,Yes,Shawar Ali,Sanjay Bhatia,Piyush Kanojia,5,4000000,120000,0.03,2005,90,4.8,38
Aao Wish Karein,Normal,No,No,drama,No,No,Yes,Aftab Shivdasani,Glen Barreto,Ankur Tewari,70,57500000,1700000,0.029565217,2009,140,5.1,584
Luv U Soniyo,Normal,No,No,love_story,Yes,Yes,Yes,Tanuj Virwani,Joe Rajan,Sunil Bhatia,100,57500000,1700000,0.029565217,2012,144,5.5,67
Sanam Teri Kasam,Normal,No,No,love_story,Yes,No,No,Harshvardhan Rane,Lawrence D'Souza,Nadeem - Shravan,10,25000000,725000,0.029,2016,154,7.4,10855
Sanam Teri Kasam,Normal,No,No,love_story,No,No,No,Harshvardhan Rane,Lawrence D'Souza,Nadeem - Shravan,10,25000000,725000,0.029,2016,154,7.4,10855
Prague,Normal,No,No,thriller,No,Yes,Yes,Chandan Roy Sanyal,Ashish R. Shukla,Atif Afzal,85,40000000,1150000,0.02875,2013,109,5.6,349
Daayen Ya Baayen,Normal,No,No,drama,No,Yes,No,Deepak Dobriyal,Bela Negi,Vivek Philip,15,5000000,142000,0.0284,2010,115,6.3,146
Faraar,Normal,No,No,action,Yes,Yes,No,Akbar Khan,Santosh Gupta,Vaishnav Deva,25,15000000,425000,0.028333333,1975,136,6.9,314
Devaki,Normal,No,No,drama,No,Yes,Yes,Suman Ranganathan,Bappaditya Bandopadhyay,Bikram Ghosh,15,12500000,350000,0.028,2005,87,4.2,31
With Luv... Tumhaara,Normal,No,No,love_story,No,Yes,Yes,Preeti Jhangiani,Kamal Nathani,Sudeep Banerjee,20,22500000,625000,0.027777778,2006,120,6.2,23
Hansa,Holiday,No,No,drama,Yes,Yes,Yes,Trimala Adhikari,Manav Kaul,Brince Bora,15,10000000,270000,0.027,2012,88,7.7,36
Mere Haule Dost,Normal,No,No,comedy,Yes,Yes,Yes,Anirudh Loka,Nitin Raghunath,Divyang Arora,10,7500000,200000,0.026666667,2013,112,6.7,26
Love You To Death,Holiday,No,No,drama,No,Yes,Yes,Chandan Roy Sanyal,Rafeeq Ellias,Ronit Chatterji,35,20000000,525000,0.02625,2012,102,5.3,7
Bad Luck Govind,Normal,No,No,comedy,No,No,No,Gaurav Kapur,Varun Khanna,Anu Malik,65,37500000,975000,0.026,2009,120,3.5,17
Aashiqui.in,Holiday,No,No,love_story,Yes,Yes,Yes,Ishaan Manhaas,Shankhadeep,Nitin Kumar Gupta,30,25000000,650000,0.026,2011,109,3.7,61
The Forest,Normal,No,No,thriller,No,Yes,Yes,Javed Jaffrey,Ashvin Kumar,Matt Robertson,15,15000000,390000,0.026,2009,88,5.0,114
Myoho,Normal,No,No,drama,No,Yes,Yes,Kanwaljeet,Ranjan Shandilya,Runa Rizvi,25,12500000,315000,0.0252,2012,120,6.5,13
Na Jaane Kabse,Normal,No,No,rom__com,Yes,Yes,Yes,Garry Gill,Pammi Somal,Jatin Pandit,75,30000000,750000,0.025,2011,132,5.4,9
Blue Oranges,Holiday,No,No,drama,No,Yes,Yes,Rajit Kapoor,Rajesh Ganguly,Bipin Panchal,15,10000000,250000,0.025,2009,114,6.5,201
Khwaabb,Holiday,No,No,drama,Yes,Yes,No,Navdip Singh,Zaid Ali Khan,Sandeep Chowta,50,40000000,975000,0.024375,2014,90,5.5,68
Greater Elephant,Holiday,No,No,drama,Yes,Yes,Yes,Hussain Dalal,Srinivas Sunderrajan,Swarathma,3,3000000,72000,0.024,2012,90,5.7,47
Naam Gum Jaayega,Holiday,No,No,thriller,No,No,No,Dia Mirza,Amol Shetge,Anand - Milind,7,15000000,350000,0.023333333,2005,125,5.9,81
Ye Stupid Pyar,Normal,No,No,love_story,Yes,Yes,Yes,Jatin Khurana,Rakesh Jain,Reeky Dev,20,10000000,225000,0.0225,2011,106,4.6,10
Benny And Babloo,Holiday,No,No,comedy,No,Yes,Yes,Kay Kay Menon,Yunus Sajawal,Amjad - Nadeem,60,47500000,1000000,0.021052632,2010,123,6.1,349
Fast Forward,Holiday,No,No,drama,No,Yes,Yes,Vinod Khanna,Zaigham Ali Sayed,Akbar Sami,40,25000000,525000,0.021,2009,57,5.6,46
Milta Hai Chance By Chance,Holiday,No,No,love_story,No,No,Yes,Gracy Singh,Ramesh Modi,Jatin Pandit,20,15000000,310000,0.020666667,2011,87,6.2,9
Katputtli,Holiday,No,No,thriller,No,No,No,Mink,Sanjay Khanna,Bappi - Tutal,25,20000000,400000,0.02,2006,119,5.6,24
Janani,Normal,No,No,drama,No,Yes,Yes,Bhagyashree,Chander Behl,Nirmal Pawar,15,15000000,300000,0.02,2006,124,4.4,28
Vroom,Normal,No,No,comedy,Yes,Yes,No,Gaurav Bajaj,Savin Tuscano,Sanjoy Chowdhary,75,40000000,750000,0.01875,2010,130,5.4,30
Ebn-E-Batuta,Normal,No,No,comedy,No,Yes,Yes,Omkar Das Manikpuri,Varun Middha,Tarannum Malik,50,30000000,550000,0.018333333,2014,125,4.3,27
Jaisi Karni Waisi Bharni,Normal,No,No,drama,Yes,Yes,Yes,Nilesh Kumar,Om Verma,Chand Sadhwani,2,4000000,72500,0.018125,1989,168,5.6,223
Hota Hai Dil Pyaar Mein Paagal,Holiday,No,No,love_story,Yes,No,Yes,Gaurav Kakkar,Mahesh Kapoor,Ali Vasudev,5,10000000,175000,0.0175,2006,118,5.1,15
Let's Dance,Normal,No,No,drama,Yes,Yes,Yes,Gayatri Patel,Aarif Sheikh,Vipin Mishra,70,45000000,750000,0.016666667,2009,125,5.7,19
My Friend Ganesha 2,Holiday,No,Yes,drama,No,No,Yes,Harsh Chhaya,Rajiv S. Ruia,Vinay Kapadia,15,25000000,400000,0.016,2008,117,4.4,59
Login,Normal,No,No,thriller,Yes,Yes,Yes,Himanshu Bhatt,Sanjeev Reddy,Sunil Kashyap,10,20000000,275000,0.01375,2012,125,6.1,99
Riwayat,Normal,No,No,drama,Yes,Yes,Yes,Samapika,Vijay Patkar,Sushil Lalji,35,35000000,475000,0.013571429,2012,122,4.6,9
